127.0.0.1 - - [15/Apr/2024:15:31:57 +0100] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [15/Apr/2024:15:32:18 +0100] "GET /agence_location/login HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [15/Apr/2024:15:32:18 +0100] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [15/Apr/2024:15:32:23 +0100] "GET /agence_location/ HTTP/1.1" 200 25266
0:0:0:0:0:0:0:1 - - [15/Apr/2024:15:33:51 +0100] "GET /agence_location/ HTTP/1.1" 200 25330
0:0:0:0:0:0:0:1 - - [15/Apr/2024:15:36:51 +0100] "GET /agence_location/ HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [15/Apr/2024:15:36:52 +0100] "GET /agence_location/ HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [15/Apr/2024:15:36:58 +0100] "GET /agence_location/cata HTTP/1.1" 200 25346
0:0:0:0:0:0:0:1 - - [15/Apr/2024:15:39:46 +0100] "GET /agence_location/cata HTTP/1.1" 200 26045
0:0:0:0:0:0:0:1 - - [15/Apr/2024:15:40:30 +0100] "GET /agence_location/cata HTTP/1.1" 200 26018
0:0:0:0:0:0:0:1 - - [15/Apr/2024:15:40:46 +0100] "GET /agence_location/cata HTTP/1.1" 200 26019
0:0:0:0:0:0:0:1 - - [15/Apr/2024:15:40:59 +0100] "GET /agence_location/cata HTTP/1.1" 200 26020
0:0:0:0:0:0:0:1 - - [15/Apr/2024:15:42:24 +0100] "GET /agence_location/cata HTTP/1.1" 200 26019
0:0:0:0:0:0:0:1 - - [15/Apr/2024:15:44:21 +0100] "GET /agence_location/cata HTTP/1.1" 200 25994
0:0:0:0:0:0:0:1 - - [15/Apr/2024:15:44:29 +0100] "GET /agence_location/cata HTTP/1.1" 200 25994
0:0:0:0:0:0:0:1 - - [15/Apr/2024:15:46:07 +0100] "GET /agence_location/cata HTTP/1.1" 200 26108
0:0:0:0:0:0:0:1 - - [15/Apr/2024:15:46:36 +0100] "GET /agence_location/cata HTTP/1.1" 200 25927
0:0:0:0:0:0:0:1 - - [15/Apr/2024:16:09:08 +0100] "GET /agence_location/ HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [15/Apr/2024:16:09:11 +0100] "GET /agence_location/cata HTTP/1.1" 200 25325
0:0:0:0:0:0:0:1 - - [15/Apr/2024:16:09:13 +0100] "GET /agence_location/login HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [15/Apr/2024:16:47:15 +0100] "GET /agence_location/cata HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:16:47:16 +0100] "GET /agence_location/cata HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:16:47:18 +0100] "GET /agence_location/cata HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:16:47:20 +0100] "GET /agence_location/cata HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:16:47:23 +0100] "GET /agence_location/ HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [15/Apr/2024:16:47:26 +0100] "GET /agence_location/cata HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:16:47:39 +0100] "GET /agence_location/cata HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:16:47:40 +0100] "GET /agence_location/cata HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:16:48:28 +0100] "GET /agence_location/search HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [15/Apr/2024:16:49:01 +0100] "GET /agence_location/search HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [15/Apr/2024:16:49:04 +0100] "GET /agence_location/ HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [15/Apr/2024:16:49:06 +0100] "GET /agence_location/ HTTP/1.1" 200 -
